job_name,job_failure,complexity_score,cos_hour,cpu_avg_max,cpu_avg_mean,cpu_max_max,cpu_max_mean,cpu_mem_ratio,cpu_spike_mean,critical_path_proxy,cx_dag,cx_parallel,cx_pressure,cx_retry,cx_span,dag_complexity,dag_depth,dependency_density,fan_in_max,fan_in_mean,first_start_time,inst_duration_max,inst_duration_mean,inst_duration_std,instance_count,job_span,local_arrival_density_200,machine_cpu_max,machine_cpu_mean,machine_cpu_std,machine_disk_mean,machine_mem_max,machine_mem_mean,machine_mem_std,machine_net_in_mean,machine_net_out_mean,machine_pressure,max_instances_per_task,mean_instances_per_task,mem_avg_max,mem_avg_mean,mem_max_max,mem_max_mean,mem_spike_mean,parallelism_proxy,plan_cpu_max,plan_cpu_mean,plan_cpu_sum,plan_mem_max,plan_mem_mean,plan_mem_sum,prev_failure_rate_200,prev_runtime_mean_200,resource_product_sum,root_task_ratio,runtime_span,sin_hour,submit_day,submit_hour,task_count,task_duration_max,task_duration_mean,total_instances,unique_machines,unique_task_count
j_1886716,0,,1.0,100.0,90.2,100.0,90.0,,-0.2,,,,0.0,0.0,0.011306215809558718,,,,,,86568,1,0.6,0.5477225575051662,5,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,,,,,13,0.0,1.0,0.0,,,,,5,
j_474225,0,0.11280941189000457,1.0,14.0,13.0,20.0,16.0,399.99999200000013,3.0,68.0,0.36897339804397095,0.0019400251274357147,0.0,0.0,0.012175924717986312,9.772588722239782,4.0,0.9999999996666666,3.0,3.0,86816,10,5.0,7.0710678118654755,2,17.0,,,,,,,,,,,,1.0,1.0,0.02,0.02,0.02,0.02,0.0,0.1666666666574074,30.0,20.0,40.0,0.05,0.05,0.1,,,2.0,0.0,14,0.0,1.0,0.0,3.0,17.0,6.666666666666667,3.0,2,3.0
j_2091052,0,,1.0,202.0,71.45508982035928,785.0,300.52095808383234,,229.06586826347305,,,,0.0,0.0,0.04957340778037284,,,,,,86954,57,31.07185628742515,16.645694425856234,167,,,,,,,,,,,,,,,1.69,0.8320958083832336,1.76,0.9168862275449102,0.08479041916167662,,,,,,,,,,,,57,0.0,1.0,0.0,,,,,150,
j_82634,0,0.27990228588542976,1.0,131.0,93.70575221238938,328.0,114.70575221238938,172.01834803204693,21.0,1345.0,0.8074323306042964,0.019808008385865824,0.0,0.0,0.23134256964173994,18.54987932996818,5.0,0.03333333333222222,4.0,1.0,87131,235,27.303097345132745,40.94827941241867,452,269.0,,,,,,,,,,,,143.0,15.066666666666666,0.42,0.07559734513274337,0.59,0.09763274336283187,0.022035398230088498,1.674074074067874,50.0,50.0,1500.0,0.59,0.2906666666666667,8.72,,,436.0,0.3333333333333333,266,0.0,1.0,0.0,30.0,269.0,51.03333333333333,452.0,419,30.0
j_1498970,0,,1.0,70.0,70.0,70.0,70.0,,0.0,,,,0.0,0.0,0.0008697089084275937,,,,,,87311,1,1.0,,1,,,,,,,,,,,,,,,0.02,0.02,0.0,0.0,-0.02,,,,,,,,,,,,1,0.0,1.0,0.0,,,,,1,
j_1357251,0,,1.0,68.0,68.0,68.0,68.0,,0.0,,,,0.0,0.0,0.0008697089084275937,,,,,,87322,1,1.0,,1,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,,,,,1,0.0,1.0,0.0,,,,,1,
j_1587058,0,0.19953278440906996,1.0,26.0,23.0,26.0,23.0,346.15383816568067,0.0,4056.0,0.36897339804397095,0.0,0.0,0.0,0.5922717666391913,9.772588722239782,4.0,0.9999999996666666,3.0,3.0,87344,1,0.6666666666666666,0.5773502691896258,3,1014.0,,,,,,,,,,,,1.0,1.0,0.02,0.02,0.02,0.02,0.0,0.00295566502462763,30.0,15.0,45.0,0.05,0.043333333333333335,0.13,,,2.15,0.0,681,0.0,1.0,0.0,3.0,1014.0,683.3333333333334,3.0,3,3.0
j_105527,0,,1.0,89.0,43.86363636363637,300.0,84.0909090909091,,40.22727272727273,,,,0.0,0.0,0.002609126725282781,,,,,,87357,3,1.5113636363636365,0.5465527954394862,88,,,,,,,,,,,,,,,0.24,0.026931818181818182,0.25,0.026931818181818182,7.885106708985487e-20,,,,,,,,,,,,3,0.0,1.0,0.0,,,,,77,
j_1410110,0,0.05353962206503497,1.0,90.0,78.0,90.0,86.0,254.23728748922724,8.0,2.0,0.16915823769174898,0.01774462947497426,0.0,0.0,0.0008697089084275937,5.772588722239782,2.0,0.22222222214814813,1.0,0.6666666666666666,87403,1,1.0,0.0,3,1.0,,,,,,,,,,,,1.0,1.0,0.02,0.02,0.02,0.02,0.0,1.49999999925,100.0,100.0,300.0,0.49,0.3933333333333333,1.18,,,118.0,0.3333333333333333,1,0.0,1.0,0.0,3.0,1.0,1.0,3.0,3,3.0
j_2506138,0,,1.0,81.0,59.666666666666664,97.0,91.0,,31.333333333333332,,,,0.0,0.0,0.007827380175848343,,,,,,87575,9,6.0,3.605551275463989,3,,,,,,,,,,,,,,,0.05,0.04,0.06,0.04666666666666667,0.006666666666666665,,,,,,,,,,,,9,0.0,1.0,0.0,,,,,3,
j_2420514,0,,1.0,37.0,37.0,37.0,37.0,,0.0,,,,0.0,0.0,0.0,,,,,,87598,0,0.0,,1,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,,,,,0,0.0,1.0,0.0,,,,,1,
j_256626,0,0.11206209753152305,1.0,33.0,28.666666666666668,33.0,28.666666666666668,346.15383816568067,0.0,32.0,0.36897339804397095,0.003915600671646312,0.0,0.0,0.005218253450565562,9.772588722239782,4.0,0.9999999996666666,3.0,3.0,87769,0,0.0,0.0,3,8.0,,,,,,,,,,,,1.0,1.0,0.02,0.02,0.02,0.02,0.0,0.3333333332962963,30.0,15.0,45.0,0.05,0.043333333333333335,0.13,,,2.15,0.0,6,0.0,1.0,0.0,3.0,8.0,5.0,3.0,3,3.0
j_2335735,0,,1.0,60.0,43.25,90.0,84.0,,40.75,,,,0.0,0.0,0.003478835633710375,,,,,,88073,4,2.5,1.6035674514745464,8,,,,,,,,,,,,,,,0.04,0.0225,0.06,0.02625,0.0037499999999999994,,,,,,,,,,,,4,0.0,1.0,0.0,,,,,8,
j_186871,0,,1.0,89.0,86.0,89.0,86.66666666666667,,0.6666666666666666,,,,0.9091093440465798,0.0,0.5783564241043498,,,,,,88128,1,1.0,0.0,3,,,96.0,37.08376596043216,14.612676359021592,3.9657639960712783,98.0,90.85954819699734,3.78562519876842,43.40096253683176,32.93444226182124,0.4396969271783359,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,,,,,665,0.0,1.0,0.0,,,,,3,
j_231055,0,0.14627662122254548,1.0,179.0,86.89041095890411,850.0,283.4931506849315,121.35922300640964,196.6027397260274,336.0,0.435074043441936,0.00762199018920739,0.0,0.0,0.0974073977438905,11.095824562432226,3.0,0.119999999976,2.0,0.6,88133,112,52.42465753424658,44.57014378364712,73,112.0,,,,,,,,,,,,27.0,14.6,0.52,0.2793150684931507,0.55,0.3361643835616438,0.05684931506849315,0.6460176991093273,50.0,50.0,250.0,0.49,0.41200000000000003,2.06,,,103.0,0.6,112,0.0,1.0,0.0,5.0,112.0,54.2,73.0,70,5.0
j_538847,0,,1.0,96.0,85.0,125.0,105.6,,20.6,,,,0.0,0.0,0.011306215809558718,,,,,,88216,13,7.2,3.5637059362410923,5,,,,,,,,,,,,,,,0.17,0.068,0.21,0.08399999999999999,0.015999999999999997,,,,,,,,,,,,13,0.0,1.0,0.0,,,,,5,
j_1120527,0,0.05915144790291062,1.0,95.0,84.0,95.0,84.0,249.99999875,0.0,24.0,0.19145196993545552,0.003611665972644795,0.0,0.0,0.007827380175848343,6.218875824868201,2.0,0.187499999953125,1.0,0.75,88256,1,0.5,0.5773502691896257,4,12.0,,,,,,,,,,,,1.0,1.0,0.02,0.02,0.02,0.02,0.0,0.30769230766863903,50.0,50.0,200.0,0.2,0.2,0.8,,,40.0,0.25,9,0.0,1.0,0.0,4.0,12.0,8.25,4.0,4,4.0
j_766592,0,,1.0,90.0,73.98245614035088,150.0,83.05263157894737,,9.070175438596491,,,,0.0,0.0,0.002609126725282781,,,,,,88275,3,1.3859649122807018,0.6749176130915187,57,,,,,,,,,,,,,,,0.28,0.040175438596491225,0.42,0.04298245614035088,0.002807017543859648,,,,,,,,,,,,3,0.0,1.0,0.0,,,,,53,
j_519559,0,0.11840058925917656,1.0,73.0,50.25,93.0,69.75,168.06722632582444,19.5,18.0,0.37175707374905775,0.04060486077916268,0.0,0.0,0.005218253450565562,9.8283137373023,3.0,0.187499999953125,2.0,0.75,88442,6,3.75,0.9890707100936805,24,6.0,,,,,,,,,,,,21.0,6.0,0.61,0.05958333333333334,0.81,0.07666666666666667,0.017083333333333336,3.4285714280816326,50.0,50.0,200.0,0.59,0.2975,1.19,,,59.5,0.5,6,0.0,1.0,0.0,4.0,6.0,4.25,24.0,23,4.0
j_591305,0,,1.0,95.0,72.0,112.0,83.5,,11.5,,,,0.0,0.0,0.0008697089084275937,,,,,,88468,1,0.2,0.4216370213557839,10,,,,,,,,,,,,,,,0.17,0.041,0.17,0.039,-0.0019999999999999996,,,,,,,,,,,,1,0.0,1.0,0.0,,,,,10,
j_212306,0,,1.0,67.0,67.0,67.0,67.0,,0.0,,,,0.0,0.0,0.0008697089084275937,,,,,,88523,1,1.0,,1,,0.010230179028132993,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,0.0,93.25,,,1,0.0,1.0,0.0,,,,,1,
j_181726,0,,1.0,87.0,62.0,90.0,88.5,,26.5,,,,0.9738371143357022,0.0,0.0,,,,,,88676,0,0.0,0.0,2,,0.009962049335863378,94.0,42.90576070901034,14.733401137400083,7.13751846381093,98.0,91.25760709010339,3.693468524396674,34.999395864106354,24.43824519940916,0.47100295420974886,,,0.04,0.03,0.02,0.01,-0.02,,,,,,,,0.0,88.85714285714286,,,0,0.0,1.0,0.0,,,,,2,
j_1501569,0,,1.0,86.0,86.0,90.0,90.0,,4.0,,,,0.0,0.0,0.0008697089084275937,,,,,,88808,1,1.0,,1,,0.009821428571428571,,,,,,,,,,,,,0.08,0.08,0.13,0.13,0.05,,,,,,,,0.0,84.81818181818181,,,1,0.0,1.0,0.0,,,,,1,
j_1128241,0,,1.0,185.0,88.7734375,765.0,307.4973958333333,,218.72395833333334,,,,0.0,0.0,0.03304893852024856,,,,,,88819,38,21.869791666666668,12.986183618351411,384,,0.010217681030653044,,,,,,,,,,,,,2.24,1.1338802083333333,2.49,1.3309375,0.19705729166666672,,,,,,,,0.0,81.17391304347827,,,38,0.0,1.0,0.0,,,,,357,
j_698867,0,,1.0,62.0,41.06666666666667,62.0,40.733333333333334,,-0.3333333333333333,,,,0.0,0.0,0.0,,,,,,88928,0,0.0,0.0,15,,0.01016949152542373,,,,,,,,,,,,,0.02,0.02,0.02,0.02,-0.0013333333333333333,,,,,,,,0.0,79.375,,,0,0.0,1.0,0.0,,,,,10,
j_1757734,0,,1.0,82.0,70.66666666666667,82.0,70.66666666666667,,0.0,,,,0.0,0.0,0.006087962358993156,,,,,,89216,1,0.3333333333333333,0.5773502691896258,3,,0.00944108761329305,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,0.0,76.2,,,7,0.0,1.0,0.0,,,,,3,
j_454499,0,,1.0,101.0,46.76470588235294,198.0,132.47058823529412,,85.70588235294117,,,,0.0,0.0,0.39397813551769995,,,,,,89257,453,399.7647058823529,109.99575526569464,17,,0.009669021941242098,,,,,,,,,,,,,0.24,0.22352941176470587,0.32,0.2376470588235294,0.014117647058823533,,,,,,,,0.0,73.53846153846153,,,453,0.0,1.0,0.0,,,,,17,
j_760527,0,0.2932504246711654,1.0,128.0,87.58644859813084,200.0,96.22429906542057,230.12552195339717,8.63785046728972,28.0,0.6573953347405396,0.6341241993010307,0.0,0.0,0.006087962358993156,15.546363568716018,4.0,0.0826446280916604,3.0,0.9090909090909091,89342,7,3.0070093457943927,0.9810606647988163,428,7.0,0.00973323720259553,,,,,,,,,,,366.0,38.90909090909091,0.32,0.0438785046728972,0.42,0.044906542056074764,0.00102803738317757,53.4999999933125,50.0,50.0,550.0,0.39,0.21727272727272728,2.39,0.0,87.5925925925926,119.5,0.36363636363636365,7,0.0,1.0,0.0,11.0,7.0,4.363636363636363,428.0,373,11.0
j_817330,0,,1.0,105.0,80.33333333333333,173.0,103.0,,22.666666666666668,,,,0.9549757738350073,0.0,0.007827380175848343,,,,,,89497,9,3.0,5.196152422706632,3,,0.009559576647319904,90.0,39.18795803994827,12.428260078917477,9.068400632274752,98.0,90.30780284523638,4.328005393353317,46.375551084925995,35.92250179623509,0.46188053839153137,,,0.12,0.05333333333333334,0.16,0.05333333333333334,2.3129646346357427e-18,,,,,,,,0.0,84.71428571428571,,,9,0.0,1.0,0.0,,,,,3,
j_1299251,0,0.02093813194352485,1.0,25.0,21.333333333333332,30.0,24.333333333333332,999.99999,3.0,5.0,0.06258025835830686,0.011817902848269194,0.0,0.0,0.002609126725282781,3.6390573296152584,1.0,0.0,0.0,0.0,89506,3,3.0,0.0,6,5.0,0.009870660313138189,,,,,,,,,,,6.0,6.0,0.02,0.02,0.02,0.02,0.0,0.9999999998333333,100.0,100.0,100.0,0.1,0.1,0.1,0.0,82.10344827586206,10.0,1.0,3,0.0,1.0,0.0,1.0,5.0,5.0,6.0,6,1.0
j_454366,0,0.16164660903229405,1.0,109.0,96.98,481.0,266.42,221.23893756363069,169.44,747.0,0.4164792715706348,0.002036731622725489,0.0,0.0,0.24264878545129864,10.72358510195238,3.0,0.15999999996800002,2.0,0.8,89653,226,79.72,60.98612756276661,50,285.0,0.009724473257698542,,,,,,,,,,,33.0,10.0,0.21,0.1232,0.35,0.1396,0.016399999999999998,0.17482517482456356,100.0,100.0,500.0,0.59,0.45199999999999996,2.26,0.0,79.46666666666667,226.0,0.4,279,0.0,1.0,0.0,5.0,249.0,72.2,50.0,19,5.0
j_1288107,0,,1.0,111.0,96.84558823529412,172.0,124.30882352941177,,27.46323529411765,,,,0.8776820360648344,0.0,0.015654760351696686,,,,,,89692,8,3.838235294117647,2.9293422045971322,136,,0.009923175416133162,89.0,29.512299161097683,13.157709180630519,6.186833499217973,98.0,91.64993601592492,3.34965024729182,38.33379354471776,27.900715199772502,0.4244968955874686,,,0.05,0.033308823529411766,0.05,0.03948529411764706,0.0061764705882352946,,,,,,,,0.0,85.90322580645162,,,18,0.0,1.0,0.0,,,,,131,
j_2371423,0,,1.0,102.0,95.33333333333333,189.0,137.33333333333334,,42.0,,,,0.0,0.0,0.07653438394162825,,,,,,89738,47,30.0,22.11334438749598,3,,0.010094637223974764,,,,,,,,,,,,,0.24,0.10666666666666667,0.29,0.12666666666666668,0.019999999999999993,,,,,,,,0.0,83.78125,,,88,0.0,1.0,0.0,,,,,3,
j_744748,0,0.23121707712734832,1.0,97.0,80.3125,102.0,86.3125,276.4976950880248,6.0,1875.0,0.6000383496415942,0.0004445894621837009,0.0,0.0,0.34092589210361673,14.398162701517753,5.0,0.07638888888252314,4.0,0.9166666666666666,89763,3,1.0625,0.5737304826019501,16,394.0,0.010328638497652583,,,,,,,,,,,5.0,1.3333333333333333,0.03,0.024375,0.03,0.025,0.0006249999999999999,0.0405063291138215,100.0,100.0,1200.0,0.49,0.36166666666666664,4.34,0.0,83.9090909090909,434.0,0.4166666666666667,392,0.0,1.0,0.0,12.0,375.0,34.333333333333336,16.0,15,12.0
j_1243638,0,0.04335268537031238,1.0,134.0,74.0,272.0,167.5,227.27272675619832,93.5,8.0,0.14041661797304292,0.004705830888952997,0.0,0.0,0.003478835633710375,5.19722457733622,2.0,0.249999999875,1.0,0.5,89871,4,4.0,0.0,2,4.0,0.010293672419013019,,,,,,,,,,,1.0,1.0,0.03,0.025,0.03,0.025,0.0,0.39999999992,100.0,100.0,200.0,0.49,0.44,0.88,0.0,92.97058823529412,88.0,0.5,4,0.0,1.0,0.0,2.0,4.0,4.0,2.0,2,2.0
j_719471,0,,1.0,101.0,93.07532956685499,200.0,103.99811676082862,,10.922787193973635,,,,0.0,0.0,0.4287664918548037,,,,,,89979,60,33.536723163841806,10.898159261078028,531,,0.010260920551158018,,,,,,,,,,,,,0.44,0.17416195856873823,0.53,0.21608286252354048,0.04192090395480226,,,,,,,,0.0,90.42857142857143,,,493,0.0,1.0,0.0,,,,,272,
j_1481593,0,0.04567568880597943,1.0,75.0,62.5,72.0,61.0,289.85507162360847,-1.5,0.0,0.14041661797304292,0.023671356093777025,0.0,0.0,0.0,5.19722457733622,2.0,0.249999999875,1.0,0.5,89995,0,0.0,0.0,2,0.0,0.01050481470674059,,,,,,,,,,,1.0,1.0,0.02,0.02,0.0,0.0,-0.02,1.9999999979999998,100.0,100.0,200.0,0.39,0.345,0.69,0.0,101.61111111111111,69.0,0.5,0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2,2.0
j_2224761,0,,0.9659258262890683,86.0,37.40234375,200.0,59.84765625,,22.4453125,,,,0.0,0.0,0.013045633626413906,,,,,,90049,10,5.58203125,0.8728527574995163,256,,0.010629129560471129,,,,,,,,,,,,,0.03,0.0299609375,0.04,0.030039062499999998,7.812500000000002e-05,,,,,,,,0.0,98.86486486486487,,,15,0.25881904510252074,1.0,1.0,,,,,254,
j_950750,0,,0.9659258262890683,46.0,46.0,46.0,46.0,,0.0,,,,0.0,0.0,0.0,,,,,,90315,0,0.0,,1,,0.010141446490525754,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,0.0,96.65789473684211,,,0,0.25881904510252074,1.0,1.0,,,,,1,
j_499568,0,,0.9659258262890683,92.0,50.86206896551724,260.0,141.3793103448276,,90.51724137931035,,,,0.0,0.0,0.010436506901131124,,,,,,90672,12,5.448275862068965,2.6129650221341563,29,,0.009502923976608188,,,,,,,,,,,,,0.12,0.039310344827586205,0.12,0.04206896551724138,0.002758620689655173,,,,,,,,0.0,94.17948717948718,,,12,0.25881904510252074,1.0,1.0,,,,,24,
j_522658,0,,0.9659258262890683,61.0,61.0,61.0,61.0,,0.0,,,,0.0,0.0,0.0008697089084275937,,,,,,90704,1,1.0,,1,,0.00967117988394584,,,,,,,,,,,,,0.02,0.02,0.03,0.03,0.009999999999999998,,,,,,,,0.0,92.125,,,1,0.25881904510252074,1.0,1.0,,,,,1,
j_1741743,0,,0.9659258262890683,97.0,97.0,103.0,103.0,,6.0,,,,0.0,0.0,0.002609126725282781,,,,,,90902,3,3.0,,1,,0.009460083064143978,,,,,,,,,,,,,0.05,0.05,0.08,0.08,0.03,,,,,,,,0.0,89.90243902439025,,,3,0.25881904510252074,1.0,1.0,,,,,1,
j_997634,0,0.0004391719348611838,0.9659258262890683,71.0,71.0,71.0,71.0,166.6666661111111,0.0,3.0,0.0,0.0029278128990745584,0.0,0.0,0.0,2.386294361119891,1.0,0.0,0.0,0.0,90936,0,0.0,,1,3.0,0.009615384615384616,,,,,,,,,,,1.0,1.0,0.02,0.02,0.02,0.02,0.0,0.2499999999375,50.0,50.0,50.0,0.3,0.3,0.3,0.0,87.83333333333333,15.0,1.0,0,0.25881904510252074,1.0,1.0,1.0,3.0,3.0,1.0,1,1.0
j_1833067,0,,0.9659258262890683,93.0,83.0,93.0,83.0,,0.0,,,,0.9999999979324182,0.0,0.0,,,,,,90953,0,0.0,0.0,2,,0.009806157354618015,83.0,46.8044425087108,10.519216956372428,7.678716608594657,98.0,91.6335656213705,3.1477142614337468,45.78935975609756,38.187517421602784,0.4870557491289198,,,0.04,0.03,0.0,0.0,-0.03,,,,,,,,0.0,85.79069767441861,,,0,0.25881904510252074,1.0,1.0,,,,,2,
j_1986850,0,,0.9659258262890683,49.0,25.571428571428573,77.0,53.714285714285715,,28.142857142857142,,,,0.0,0.0,0.002609126725282781,,,,,,90998,3,2.142857142857143,0.6900655593423541,7,,0.009932279909706545,,,,,,,,,,,,,0.13,0.11571428571428573,0.17,0.17,0.054285714285714305,,,,,,,,0.0,83.8409090909091,,,3,0.25881904510252074,1.0,1.0,,,,,7,
j_2374925,0,,0.9659258262890683,66.0,48.71084337349398,293.0,105.51807228915662,,56.80722891566265,,,,0.0,0.0,0.029570102886538187,,,,,,91058,34,13.903614457831326,8.054107356682001,83,,0.01002227171492205,,,,,,,,,,,,,0.11,0.025060240963855424,0.11,0.027590361445783133,0.0025301204819277107,,,,,,,,0.0,82.04444444444445,,,34,0.25881904510252074,1.0,1.0,,,,,74,
j_2259158,0,,0.9659258262890683,93.0,63.333333333333336,93.0,66.33333333333333,,3.0,,,,0.0,0.0,0.3252711317519201,,,,,,91251,2,1.0,1.0,3,,0.009822763185991885,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,0.0,81.0,,,374,0.25881904510252074,1.0,1.0,,,,,3,
j_936728,0,,0.9659258262890683,77.0,57.0,77.0,57.333333333333336,,0.3333333333333333,,,,0.0,0.0,0.00695767126742075,,,,,,91579,1,1.0,0.0,3,,0.009379365396128516,,,,,,,,,,,,,0.02,0.02,0.03,0.023333333333333334,0.0033333333333333327,,,,,,,,0.0,87.23404255319149,,,8,0.25881904510252074,1.0,1.0,,,,,3,
j_2341085,0,,0.9659258262890683,91.0,66.66666666666667,91.0,67.0,,0.3333333333333333,,,,0.0,0.0,0.0008697089084275937,,,,,,91778,1,1.0,0.0,3,,0.009213051823416507,,,,,,,,,,,,,0.03,0.023333333333333334,0.05,0.016666666666666666,-0.006666666666666665,,,,,,,,0.0,85.58333333333333,,,1,0.25881904510252074,1.0,1.0,,,,,3,
j_2276538,0,,0.9659258262890683,118.0,118.0,124.0,124.0,,6.0,,,,0.0,0.0,0.002609126725282781,,,,,,91991,3,3.0,,1,,0.00903558915729301,,,,,,,,,,,,,0.04,0.04,0.08,0.08,0.04,,,,,,,,0.0,83.85714285714286,,,3,0.25881904510252074,1.0,1.0,,,,,1,
j_1913812,0,,0.9659258262890683,88.0,59.333333333333336,100.0,78.26666666666667,,18.933333333333334,,,,0.0,0.0,0.002609126725282781,,,,,,92313,3,1.2666666666666666,0.7037315505489968,15,,0.008703220191470844,,,,,,,,,,,,,0.16,0.04800000000000001,0.23,0.059333333333333335,0.011333333333333334,,,,,,,,0.0,82.24,,,3,0.25881904510252074,1.0,1.0,,,,,15,
j_1785584,0,,0.9659258262890683,26.0,26.0,26.0,26.0,,0.0,,,,0.0,0.0,0.0,,,,,,92641,0,0.0,,1,,0.008397826444920138,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,0.0,80.68627450980392,,,0,0.25881904510252074,1.0,1.0,,,,,1,
j_226824,0,,0.9659258262890683,30.0,25.666666666666668,30.0,26.333333333333332,,0.6666666666666666,,,,0.0,0.0,0.2756977239715472,,,,,,92673,1,0.6666666666666666,0.5773502691896258,3,,0.008517608517608518,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,0.0,79.13461538461539,,,317,0.25881904510252074,1.0,1.0,,,,,3,
j_2296210,0,,0.9659258262890683,100.0,91.5,107.0,98.5,,7.0,,,,0.0,0.0,0.004348544542137968,,,,,,92950,5,3.75,1.2583057392117916,4,,0.008304606706361642,,,,,,,,,,,,,0.24,0.1175,0.29,0.155,0.0375,,,,,,,,0.0,83.62264150943396,,,5,0.25881904510252074,1.0,1.0,,,,,4,
j_219730,0,0.0005696282711253228,0.9659258262890683,73.0,73.0,73.0,73.0,249.99999875,0.0,3.0,0.0,0.0029278128990745584,0.0,0.0,0.0008697089084275937,2.386294361119891,1.0,0.0,0.0,0.0,93052,1,1.0,,1,3.0,0.008328192473781616,,,,,,,,,,,1.0,1.0,0.02,0.02,0.02,0.02,0.0,0.2499999999375,50.0,50.0,50.0,0.2,0.2,0.2,0.0,82.16666666666667,10.0,1.0,1,0.25881904510252074,1.0,1.0,1.0,3.0,3.0,1.0,1,1.0
j_2509118,0,,0.9659258262890683,45.0,45.0,84.0,84.0,,1.1818181818181819,,,,0.0,0.0,0.0017394178168551875,,,,,,93118,2,0.06060606060606061,0.34815531191139565,33,,0.008396946564885497,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,0.0,80.69090909090909,,,2,0.25881904510252074,1.0,1.0,,,,,33,
j_778386,0,,0.9659258262890683,27.0,23.5,100.0,48.75,,25.25,,,,0.0,0.0,0.002609126725282781,,,,,,93280,3,2.0,0.816496580927726,4,,0.00834326579261025,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.0,,,,,,,,0.0,79.28571428571429,,,3,0.25881904510252074,1.0,1.0,,,,,4,
