job_name,instance_count,failed_instance_count,instance_fail_rate,inst_duration_mean,inst_duration_max,inst_duration_std,cpu_avg_mean,cpu_avg_max,cpu_max_mean,cpu_max_max,mem_avg_mean,mem_avg_max,mem_max_mean,mem_max_max,cpu_spike_mean,mem_spike_mean,first_start_time,last_end_time,primary_machine_id,unique_machines,job_failure,runtime_span,task_count,unique_task_count,total_instances,max_instances_per_task,mean_instances_per_task,dag_depth,fan_in_mean,fan_in_max,root_task_ratio,plan_cpu_mean,plan_cpu_max,plan_cpu_sum,plan_mem_mean,plan_mem_max,plan_mem_sum,resource_product_sum,task_start_min,task_end_max,task_duration_mean,task_duration_max,task_fail_rate,job_span,parallelism_proxy,dependency_density,cpu_mem_ratio,critical_path_proxy,dag_complexity,machine_id,machine_cpu_mean,machine_cpu_std,machine_cpu_max,machine_mem_mean,machine_mem_std,machine_mem_max,machine_net_in_mean,machine_net_out_mean,machine_disk_mean,machine_records,machine_pressure,submit_hour,submit_day,sin_hour,cos_hour,prev_failure_rate_200,prev_runtime_mean_200,local_arrival_density_200,cx_dag,cx_pressure,cx_retry,cx_parallel,cx_span,complexity_score
j_1886716,5,0,0.0,0.6,1,0.5477225575051662,90.2,100.0,90.0,100.0,0.02,0.02,0.02,0.02,-0.2,0.0,86568,86581,m_2499,5,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.011306215809558718,
j_474225,2,0,0.0,5.0,10,7.0710678118654755,13.0,14.0,16.0,20.0,0.02,0.02,0.02,0.02,3.0,0.0,86816,86830,m_2885,2,0,14,3.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,0.0,20.0,30.0,40.0,0.05,0.05,0.1,2.0,86813.0,86830.0,6.666666666666667,17.0,0.0,17.0,0.1666666666574074,0.9999999996666666,399.99999200000013,68.0,9.772588722239782,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.36897339804397095,0.0,0.0,0.0019400251274357147,0.012175924717986312,0.11280941189000457
j_2091052,167,0,0.0,31.07185628742515,57,16.645694425856234,71.45508982035928,202.0,300.52095808383234,785.0,0.8320958083832336,1.69,0.9168862275449102,1.76,229.06586826347305,0.08479041916167662,86954,87011,m_1025,150,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.04957340778037284,
j_82634,452,0,0.0,27.303097345132745,235,40.94827941241867,93.70575221238938,131.0,114.70575221238938,328.0,0.07559734513274337,0.42,0.09763274336283187,0.59,21.0,0.022035398230088498,87131,87397,m_1129,419,0,266,30.0,30.0,452.0,143.0,15.066666666666666,5.0,1.0,4.0,0.3333333333333333,50.0,50.0,1500.0,0.2906666666666667,0.59,8.72,436.0,87128.0,87397.0,51.03333333333333,269.0,0.0,269.0,1.674074074067874,0.03333333333222222,172.01834803204693,1345.0,18.54987932996818,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.8074323306042964,0.0,0.0,0.019808008385865824,0.23134256964173994,0.27990228588542976
j_1498970,1,0,0.0,1.0,1,,70.0,70.0,70.0,70.0,0.02,0.02,0.0,0.0,0.0,-0.02,87311,87312,m_2845,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.0008697089084275937,
j_1357251,1,0,0.0,1.0,1,,68.0,68.0,68.0,68.0,0.02,0.02,0.02,0.02,0.0,0.0,87322,87323,m_816,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.0008697089084275937,
j_1587058,3,0,0.0,0.6666666666666666,1,0.5773502691896258,23.0,26.0,23.0,26.0,0.02,0.02,0.02,0.02,0.0,0.0,87344,88025,m_2938,3,0,681,3.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,0.0,15.0,30.0,45.0,0.043333333333333335,0.05,0.13,2.15,87011.0,88025.0,683.3333333333334,1014.0,0.0,1014.0,0.00295566502462763,0.9999999996666666,346.15383816568067,4056.0,9.772588722239782,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.36897339804397095,0.0,0.0,0.0,0.5922717666391913,0.19953278440906996
j_105527,88,0,0.0,1.5113636363636365,3,0.5465527954394862,43.86363636363637,89.0,84.0909090909091,300.0,0.026931818181818182,0.24,0.026931818181818182,0.25,40.22727272727273,7.885106708985487e-20,87357,87360,m_1303,77,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.002609126725282781,
j_1410110,3,0,0.0,1.0,1,0.0,78.0,90.0,86.0,90.0,0.02,0.02,0.02,0.02,8.0,0.0,87403,87404,m_1242,3,0,1,3.0,3.0,3.0,1.0,1.0,2.0,0.6666666666666666,1.0,0.3333333333333333,100.0,100.0,300.0,0.3933333333333333,0.49,1.18,118.0,87403.0,87404.0,1.0,1.0,0.0,1.0,1.49999999925,0.22222222214814813,254.23728748922724,2.0,5.772588722239782,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.16915823769174898,0.0,0.0,0.01774462947497426,0.0008697089084275937,0.05353962206503497
j_2506138,3,0,0.0,6.0,9,3.605551275463989,59.666666666666664,81.0,91.0,97.0,0.04,0.05,0.04666666666666667,0.06,31.333333333333332,0.006666666666666665,87575,87584,m_3213,3,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,0.0,0.0,,0.007827380175848343,
