feature,importance
cx_retry,0.35787053940103797
cpu_spike_mean,0.06234048218711017
mem_avg_mean,0.059198720270199824
mem_max_mean,0.057769516944520996
mem_max_max,0.05125027718751009
cpu_max_max,0.045464014478862017
mem_spike_mean,0.03445632551779594
unique_machines,0.03356375055298832
instance_count,0.032984714838105035
cpu_avg_max,0.031205026158518823
cpu_max_mean,0.030885231637218038
mem_avg_max,0.025815577096101598
cpu_avg_mean,0.024801574798334697
runtime_span,0.016178893083774876
inst_duration_max,0.01369439718250348
cx_span,0.013342839455048265
prev_failure_rate_200,0.013336183320055301
inst_duration_mean,0.012230431713232907
inst_duration_std,0.011404396353948243
submit_hour,0.010970671812988974
sin_hour,0.007914540268551084
complexity_score,0.006916344221202161
first_start_time,0.005760824671156136
prev_runtime_mean_200,0.004296690758548408
cos_hour,0.004225759994610824
local_arrival_density_200,0.0037115236435163058
submit_day,0.002446353205017931
task_duration_max,0.002215530538249357
job_span,0.0018653509844563064
dag_complexity,0.001829281502001508
cx_dag,0.0017816209641986823
critical_path_proxy,0.0015869888505806846
dependency_density,0.0015546557200309433
fan_in_mean,0.0015326808523034197
total_instances,0.001459574411862372
cpu_mem_ratio,0.0012207118885704724
task_duration_mean,0.0011642783859591578
mean_instances_per_task,0.0010319452665893858
root_task_ratio,0.00094013981441251
cx_parallel,0.0008568522067930505
parallelism_proxy,0.0008392135876437391
plan_mem_sum,0.0006983006400613052
resource_product_sum,0.0006634959246943001
max_instances_per_task,0.0005148204791828316
plan_mem_mean,0.00044320436904329
plan_mem_max,0.00040625685807152103
unique_task_count,0.00037281275180142806
plan_cpu_max,0.0003632096333195827
plan_cpu_sum,0.0003449093404638207
dag_depth,0.0003148697915771516
machine_net_in_mean,0.0002521469855186872
plan_cpu_mean,0.0002395167363702849
machine_net_out_mean,0.00019527192671516092
machine_cpu_std,0.00018128184566793305
task_count,0.00017386038529702377
cx_pressure,0.00015277440529678552
machine_cpu_mean,0.00014881344573656628
machine_pressure,0.00014801107410909774
machine_disk_mean,0.00012388088358969993
machine_mem_std,0.00011566073258847419
fan_in_max,0.00010813351528187602
machine_mem_mean,6.684256400533635e-05
machine_cpu_max,5.749998549785854e-05
machine_mem_max,1.0675760216054477e-16
