model,sample_size,route,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,quantum_route_train_ratio,tau_threshold
LR,5000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.020147700000052282,0.002108899999257119,0.002108899999257119,1.0,1.0,977,0,0,23,,
RF,5000,iid,0.996,0.9130434782608696,1.0,0.8260869565217391,0.9047619047619048,0.907038373010703,0.39954990000023827,0.07233589999941614,0.07233589999941614,1.0,0.9999999999999998,977,0,4,19,,
HGB,5000,iid,1.0,1.0,1.0,1.0,1.0,1.0,1.7232110000004468,0.028189800000291143,0.028189800000291143,1.0,1.0,977,0,0,23,,
MLP,5000,iid,0.998,0.9565217391304348,1.0,0.9130434782608695,0.9545454545454546,0.9545565572032726,0.35562819999995554,0.004409999999552383,0.004409999999552383,1.0,1.0,977,0,2,21,,
XGB,5000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.35881739999967976,0.0037364999998317217,0.0037364999998317217,1.0,1.0,977,0,0,23,,
LGBM,5000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.3290066999998089,0.005326900000000023,0.005326900000000023,1.0,1.0,977,0,0,23,,
HQD-Net(tau=0.80),5000,iid,0.997,0.9347826086956521,1.0,0.8695652173913043,0.9302325581395349,0.9310764109633277,0.3223846000000776,0.007121200000256067,0.007121200000256067,1.0,1.0,977,0,3,20,0.20875,0.001014132768313413
LR,10000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.02681739999934507,0.0031224000003930996,0.0022708363639222543,1.0,1.0,1343,0,0,32,,
RF,10000,iid,0.9992727272727273,0.984375,1.0,0.96875,0.9841269841269841,0.9838847513144249,0.5004386999999042,0.05598149999968882,0.040713818181591865,1.0,1.0,1343,0,1,31,,
HGB,10000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.39231629999994766,0.026558100000329432,0.019314981818421405,1.0,1.0,1343,0,0,32,,
MLP,10000,iid,0.9978181818181818,0.953125,1.0,0.90625,0.9508196721311475,0.9509101567972383,0.4497379999993427,0.0035000999996555038,0.00254552727247673,0.95969843633656,0.9405045212227835,1343,0,3,29,,
XGB,10000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.1772785000002841,0.005466900000101305,0.003975927272800948,1.0,1.0,1343,0,0,32,,
LGBM,10000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.36464520000026823,0.0063408999994862825,0.004611563635990024,1.0,1.0,1343,0,0,32,,
HQD-Net(tau=0.80),10000,iid,0.9978181818181818,0.953125,1.0,0.90625,0.9508196721311475,0.9509101567972383,0.2906295999991926,0.006388800000422634,0.004646400000307371,1.0,1.0,1343,0,3,29,0.21258410620112747,0.001014132768313413
LR,20000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.02405110000017885,0.002717800000027637,0.001976581818201918,1.0,1.0,1343,0,0,32,,
RF,20000,iid,0.9992727272727273,0.984375,1.0,0.96875,0.9841269841269841,0.9838847513144249,0.4086559000006673,0.04824509999980364,0.03508734545440265,1.0,1.0,1343,0,1,31,,
HGB,20000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.3753740000001926,0.021854999999959546,0.015894545454516035,1.0,1.0,1343,0,0,32,,
MLP,20000,iid,0.9978181818181818,0.953125,1.0,0.90625,0.9508196721311475,0.9509101567972383,0.40334119999988616,0.004248300000654126,0.003089672727748455,0.95969843633656,0.9405045212227835,1343,0,3,29,,
XGB,20000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.16375069999958214,0.003516200000376557,0.0025572363639102236,1.0,1.0,1343,0,0,32,,
LGBM,20000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.26121189999958006,0.004361600000265753,0.003172072727466002,1.0,1.0,1343,0,0,32,,
HQD-Net(tau=0.80),20000,iid,0.9978181818181818,0.953125,1.0,0.90625,0.9508196721311475,0.9509101567972383,0.2833434000003763,0.00645390000045154,0.004693745454873847,1.0,1.0,1343,0,3,29,0.21258410620112747,0.001014132768313413
LR,25000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.025129300000116928,0.00349370000003546,0.0025408727272985166,1.0,1.0,1343,0,0,32,,
RF,25000,iid,0.9992727272727273,0.984375,1.0,0.96875,0.9841269841269841,0.9838847513144249,0.3996346000003541,0.03120249999938096,0.02269272727227706,1.0,1.0,1343,0,1,31,,
HGB,25000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.29715459999988525,0.020762500000273576,0.015100000000198965,1.0,1.0,1343,0,0,32,,
MLP,25000,iid,0.9978181818181818,0.953125,1.0,0.90625,0.9508196721311475,0.9509101567972383,0.37657750000016676,0.0036458999993556063,0.0026515636358949864,0.95969843633656,0.9405045212227835,1343,0,3,29,,
XGB,25000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.15962839999974676,0.0038082000000940752,0.0027696000000684185,1.0,1.0,1343,0,0,32,,
LGBM,25000,iid,1.0,1.0,1.0,1.0,1.0,1.0,0.30365900000015245,0.005911299999752373,0.004299127272547181,1.0,1.0,1343,0,0,32,,
HQD-Net(tau=0.80),25000,iid,0.9978181818181818,0.953125,1.0,0.90625,0.9508196721311475,0.9509101567972383,0.26053649999994377,0.006946000000425556,0.005051636363945859,1.0,1.0,1343,0,3,29,0.21258410620112747,0.001014132768313413
