model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,feature_noise_sigma
RF,25000,iid,0.926938985346945,0.9934,0.9934000000000001,0.9991906110886281,0.9876,0.9933614966807484,0.9868663986050223,0.8358297000004313,0.06606879999981174,0.01321375999996235,0.99986336,0.9998476847587893,2498,2,31,2469,0.0
XGB,25000,iid,0.4743694067001343,0.9638,0.9638,0.94408272692455,0.986,0.9645861866562316,0.9285156708282609,0.6021412999998574,0.007343499999478809,0.0014686999998957619,0.99126888,0.9895110782770544,2354,146,35,2465,0.0
RF,25000,iid,0.45822972518149624,0.9622,0.9621999999999999,0.931317655841732,0.998,0.9635064684301988,0.9267786456514515,1.2264415999998164,0.07291879999957018,0.014583759999914037,0.9924672000000001,0.9909644422328151,2316,184,5,2495,0.01
XGB,25000,iid,0.5294084613836265,0.9314,0.9314,0.9108571428571428,0.9564,0.9330731707317074,0.8638805264096271,0.6799997999996776,0.007252700000208279,0.0014505400000416559,0.9781616799999999,0.9756176983896541,2266,234,109,2391,0.01
RF,25000,iid,0.4748230949637705,0.9478,0.9478,0.9150908416759362,0.9872,0.9497787184914374,0.8983936040224909,1.2434125999998287,0.06777060000058555,0.013554120000117109,0.98751008,0.9852427768612599,2271,229,32,2468,0.03
XGB,25000,iid,0.44910347237617176,0.9114,0.9114,0.8722403184943902,0.964,0.9158274748242448,0.8273911232048136,0.6896271000005072,0.0068670999999085325,0.0013734199999817067,0.9712344,0.9681602409920835,2147,353,90,2410,0.03
RF,25000,iid,0.4728963333629941,0.9324,0.9324,0.8991875923190547,0.974,0.935099846390169,0.8678088063781079,1.250525500000549,0.061128199999984645,0.012225639999996929,0.9831800000000002,0.9802894319836764,2227,273,65,2435,0.05
XGB,25000,iid,0.4780549224041686,0.8984,0.8984,0.8713646532438478,0.9348,0.9019683519876496,0.7989198862809757,0.6819051000002219,0.00836059999983263,0.001672119999966526,0.96394928,0.9605430969906422,2155,345,163,2337,0.05
RF,25000,iid,0.46933733995696214,0.9042,0.9042,0.8705537220388706,0.9496,0.9083604361966712,0.8117532324385568,1.2802050000000236,0.10058930000013788,0.020117860000027576,0.96901792,0.9643394785371402,2147,353,126,2374,0.1
XGB,25000,iid,0.4464365767527234,0.8734,0.8734,0.8381021369069178,0.9256,0.8796806690743205,0.7509033949418878,0.7667677999997977,0.007955199999742035,0.001591039999948407,0.94882544,0.9454748087665135,2053,447,186,2314,0.1
