model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,quantum_route_train_ratio,tau_threshold,uncertainty_threshold
LR,5000,iid,0.453759612422759,0.801,0.8009999999999999,0.7711711711711712,0.856,0.8113744075829384,0.6056754888998181,0.0922857000005024,0.008117800000036368,0.008117800000036368,0.8532479999999999,0.8434469144078741,373,127,72,428,,,
RF,5000,iid,0.5784052433400642,0.976,0.976,0.9594594594594594,0.994,0.9764243614931237,0.9526174962712399,0.8421404000000621,0.09693809999953373,0.09693809999953373,0.9961439999999999,0.9948016847158311,479,21,3,497,,,
HGB,5000,iid,0.8410619298195857,0.98,0.98,0.9858299595141701,0.974,0.9798792756539235,0.9600691274658559,7.448302299999341,0.04707779999989725,0.04707779999989725,0.9967159999999999,0.9958865332487662,493,7,13,487,,,
MLP,5000,iid,0.47847087756686324,0.883,0.883,0.836555360281195,0.952,0.8905519176800748,0.7733997114248284,7.231225900000027,0.015519200000198907,0.015519200000198905,0.954932,0.9403753295176844,407,93,24,476,,,
XGB,5000,iid,0.5983678698539734,0.955,0.955,0.9434697855750487,0.968,0.9555774925962488,0.9103077360309599,0.8560391000000891,0.004964499999914551,0.004964499999914551,0.9862700000000002,0.9829375973490099,471,29,16,484,,,
LGBM,5000,iid,0.8704249017691298,0.977,0.977,0.9818181818181818,0.972,0.9768844221105528,0.9540477035777981,8.286652400000094,0.02179840000007971,0.02179840000007971,0.9960479999999999,0.9947650619333477,491,9,14,486,,,
HQD-Net(tau=0.80),5000,iid,0.5607580758988651,0.975,0.975,0.9647749510763209,0.986,0.9752720079129574,0.950229983487374,8.57493759999943,0.11021269999946526,0.11021269999946526,0.99362,0.9919506638570186,482,18,7,493,0.30025,0.17718573080495453,0.0017411732011560616
LR,10000,iid,0.49585334127658504,0.7785,0.7785,0.7711781888997079,0.792,0.7814504193389246,0.5572031375722173,0.14180190000024595,0.013006500000301457,0.006503250000150729,0.843888,0.8298989829504507,765,235,208,792,,,
RF,10000,iid,0.862112647833353,0.9895,0.9895,0.9929506545820745,0.986,0.9894631209232313,0.9790239863815031,1.0395929999995133,0.07915109999976266,0.03957554999988133,0.9985555,0.998138619062936,993,7,14,986,,,
HGB,10000,iid,0.4535968819581885,0.985,0.985,0.970873786407767,1.0,0.9852216748768473,0.9704367948586523,5.441345799999908,0.048942100000203936,0.024471050000101968,0.997619,0.9971435921979819,970,30,0,1000,,,
MLP,10000,iid,0.4928218389932202,0.923,0.923,0.8756660746003553,0.986,0.9275634995296331,0.8527965828365596,5.344322800000555,0.009262999999918975,0.0046314999999594875,0.9719669999999999,0.9656887255836212,860,140,14,986,,,
XGB,10000,iid,0.5050212560122526,0.9665,0.9664999999999999,0.9421800947867298,0.994,0.9673965936739659,0.934414372166979,0.835258199999771,0.012867500000538712,0.006433750000269356,0.9893445000000001,0.9872923860278415,939,61,6,994,,,
LGBM,10000,iid,0.3917922156522751,0.984,0.984,0.9689922480620154,1.0,0.984251968503937,0.9684959969581862,3.137898099999802,0.020952899999429064,0.010476449999714532,0.9981410000000001,0.9978873731227669,968,32,0,1000,,,
HQD-Net(tau=0.80),10000,iid,0.527112831619843,0.985,0.985,0.970873786407767,1.0,0.9852216748768473,0.9704367948586523,6.926613499999803,0.12221920000047248,0.061109600000236235,0.9969445,0.9964988869172418,970,30,0,1000,0.300125,0.17724586952493512,0.0015283316506586552
LR,20000,iid,0.4966266029129562,0.79725,0.79725,0.7843137254901961,0.82,0.801759960889758,0.5951163389595687,0.33781569999973726,0.017082100000152423,0.004270525000038106,0.86179125,0.8425005119058644,1549,451,360,1640,,,
RF,20000,iid,0.9255136557638619,0.99475,0.99475,0.9984886649874055,0.991,0.9947302383939775,0.98952783086162,1.2107271000004403,0.09921080000003712,0.02480270000000928,0.9998322500000001,0.9998197556731612,1997,3,18,1982,,,
HGB,20000,iid,0.4537826922150833,0.98925,0.98925,0.9789525208027411,1.0,0.9893643334157803,0.9787262342481079,5.81334489999972,0.061406499999975495,0.015351624999993874,0.9992455,0.9991397349767249,1957,43,0,2000,,,
MLP,20000,iid,0.534830559054237,0.9445,0.9445,0.9221272554605888,0.971,0.9459327812956648,0.8902512371618128,10.085495999999694,0.017498000000159664,0.004374500000039916,0.98184375,0.9767898230831495,1836,164,58,1942,,,
XGB,20000,iid,0.5046908044815063,0.9695,0.9695,0.9536231884057971,0.987,0.97002457002457,0.939575666447573,1.0412938999998005,0.017226400000254216,0.004306600000063554,0.9929825,0.9921072292038895,1904,96,26,1974,,,
LGBM,20000,iid,0.37687166816717593,0.991,0.991,0.9823182711198428,1.0,0.9910802775024777,0.9821591226678525,3.410277599999972,0.018772700000226905,0.004693175000056726,0.999626,0.9995678117639372,1964,36,0,2000,,,
HQD-Net(tau=0.80),20000,iid,0.7899542823875279,0.9905,0.9904999999999999,0.9969604863221885,0.984,0.9904378459989934,0.9810829050083578,9.272944700000153,0.10653290000027482,0.026633225000068705,0.9994835,0.9993948645720391,1994,6,32,1968,0.300375,0.17724586952493512,0.001843023452567149
LR,25000,iid,0.4979575181685146,0.8014,0.8014,0.7892514395393474,0.8224,0.805484818805093,0.6033323740344757,0.337850900000376,0.00908290000006673,0.0018165800000133458,0.86194032,0.8446272987456951,1951,549,444,2056,,,
RF,25000,iid,0.9360559132547948,0.9908,0.9908,0.998780487804878,0.9828,0.9907258064516129,0.9817256689289491,2.296642199999951,8.516039899999669,1.7032079799999338,0.9998880000000001,0.9998795396562673,2497,3,43,2457,,,
HGB,25000,iid,0.43763384810348693,0.991,0.991,0.9823182711198428,1.0,0.9910802775024777,0.9821591226678524,8.23448609999923,0.06813840000086202,0.013627680000172403,0.99941568,0.9993098163104607,2455,45,0,2500,,,
MLP,25000,iid,0.49002380413890234,0.9354,0.9354,0.8982802780826931,0.982,0.9382763233326964,0.8746068070558392,8.57681120000052,0.021574299999883806,0.004314859999976761,0.98178528,0.9791076332350606,2222,278,45,2455,,,
XGB,25000,iid,0.5062083601951599,0.9748,0.9748,0.9575944487278335,0.9936,0.9752650176678446,0.950271965830811,1.1233491000002687,0.019051799999942887,0.0038103599999885773,0.99124784,0.9893326362199196,2390,110,16,2484,,,
LGBM,25000,iid,0.42611749160380435,0.9918,0.9918,0.9838646202282566,1.0,0.9918666931164452,0.9837323012163995,5.901160800000071,0.06793139999990672,0.013586279999981342,0.9993728,0.9992815228657751,2459,41,0,2500,,,
HQD-Net(tau=0.80),25000,iid,0.48978982255805187,0.99,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9801960588196068,6.69529650000004,0.07735989999946469,0.015471979999892938,0.99943888,0.9993359572026737,2450,50,0,2500,0.30005,0.17724586952493512,0.0016674947579086762
