model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_used,val_rows,test_rows,feature_noise_sigma
RF,6874,grouped_temporal,0.5621530284186681,0.9585454545454546,0.543268287212269,0.38461538461538464,0.09259259259259259,0.14925373134328357,0.173695176504854,0.48126439999941795,0.17745149999973364,0.12905563636344264,0.6666386295455182,0.13723220198789673,1313,8,49,5,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.0
XGB,6874,grouped_temporal,0.7123153913021086,0.9570909090909091,0.5247497686937506,0.2727272727272727,0.05555555555555555,0.09230769230769231,0.10793092549606359,0.4165216000001237,0.003651499999250518,0.002655636363091286,0.653811646620125,0.13842571637345608,1313,8,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.0
RF,6874,grouped_temporal,0.5468518245209901,0.9570909090909091,0.5425112849412622,0.3333333333333333,0.09259259259259259,0.14492753623188406,0.1589891299677975,0.4308566999989125,0.03147749999880034,0.022892727271854794,0.6914374632012785,0.15641996705250705,1311,10,49,5,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.01
XGB,6874,grouped_temporal,0.7790524458885193,0.9592727272727273,0.5258852721002607,0.375,0.05555555555555555,0.0967741935483871,0.13222140513374478,0.42272609999963606,0.00342609999825072,0.0024917090896368877,0.7139092158017214,0.11045962032849636,1316,5,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.01
RF,6874,grouped_temporal,0.3686259545185769,0.8865454545454545,0.5857234979112345,0.1076923076923077,0.25925925925925924,0.15217391304347827,0.11382084787882839,0.5155323999988468,0.2060728000014933,0.1498711272738133,0.6886758067681611,0.11715419336642635,1205,116,40,14,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.03
XGB,6874,grouped_temporal,0.47189448191395217,0.9105454545454545,0.5804525191353351,0.12903225806451613,0.2222222222222222,0.16326530612244897,0.12446075891572546,0.4516115999995236,0.0036847999999736203,0.0026798545454353602,0.7131241764095663,0.11089398821953148,1240,81,42,12,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.03
RF,6874,grouped_temporal,0.6243924082871107,0.9549090909090909,0.5236142652872403,0.21428571428571427,0.05555555555555555,0.08823529411764706,0.0913817860008906,0.3632299000000785,0.22437649999847054,0.16318290908979677,0.6490873917066196,0.09475182053948646,1310,11,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.05
XGB,6874,grouped_temporal,0.8752580690383911,0.9563636363636364,0.5243712675582471,0.25,0.05555555555555555,0.09090909090909091,0.10179298526355285,0.405001799999809,0.0029441999995469814,0.0021412363633068953,0.6947738806179382,0.10584806034708685,1312,9,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.05
RF,6874,grouped_temporal,0.5988976259992198,0.952,0.5324528301886793,0.16666666666666666,0.08,0.10810810810810811,0.09277740454010168,0.3293099999991682,0.08071750000090105,0.05870363636429168,0.6833962264150943,0.08355513681096087,1305,20,46,4,0.034712118062772815,0.5,0.02180232558139535,0.03636363636363636,1336,688,1375,0.1
XGB,6874,grouped_temporal,0.24843393495565724,0.8843636363636364,0.5839622641509434,0.0962962962962963,0.26,0.14054054054054055,0.10564023326865903,0.42981390000022657,0.0031001000006654067,0.002254618182302114,0.7051169811320755,0.08421456012249491,1203,122,37,13,0.034712118062772815,0.5,0.02180232558139535,0.03636363636363636,1336,688,1375,0.1
