job_name,instance_count,label_failed_instance_count,first_start_time,primary_machine_id,unique_machines,seq_no_mean,total_seq_no_mean,job_failure,task_count,unique_task_count,total_instances,max_instances_per_task,mean_instances_per_task,dag_depth,fan_in_mean,fan_in_max,root_task_ratio,plan_cpu_mean,plan_cpu_max,plan_cpu_sum,plan_mem_mean,plan_mem_max,plan_mem_sum,resource_product_sum,task_start_min,parallelism_proxy,dependency_density,cpu_mem_ratio,critical_path_proxy,dag_complexity,machine_cpu_mean,machine_cpu_max,machine_mem_mean,machine_mem_max,machine_net_in_mean,machine_net_out_mean,machine_disk_mean,machine_pressure,machine_id_x,machine_id_y,time_stamp,submit_hour,submit_day,sin_hour,cos_hour,prev_failure_rate_200,prev_arrival_gap_200,local_arrival_density_200,cx_dag,cx_pressure,cx_repetition,cx_parallel,cx_resource,complexity_score
j_1886716,5,0,86568,m_2499,5,1.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
j_474225,2,0,86816,m_2885,2,1.0,1.0,0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,0.0,20.0,30.0,40.0,0.05,0.05,0.1,2.0,86813.0,0.75,0.75,399.99999200000013,2.772588722239781,9.772588722239782,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.5850268733783838,0.0,0.00235434455047531,0.0034844500608455747,0.005345663998275103,0.17718573080495453
j_2091052,167,0,86954,m_1025,150,1.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
j_82634,452,0,87131,m_1129,419,1.0,1.0,0,30.0,30.0,452.0,143.0,15.066666666666666,5.0,1.0,4.0,0.3333333333333333,50.0,50.0,1500.0,0.2906666666666667,0.59,8.72,436.0,87128.0,14.580645161290322,0.03225806451612903,172.01834803204693,24.849066497880003,18.54987932996818,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.9999999999401359,0.0,0.3547212456049467,0.06774070655923439,0.9999999999973272,0.513369292806267
j_1498970,1,0,87311,m_2845,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
j_1357251,1,0,87322,m_816,1,1.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
j_1587058,3,0,87344,m_2938,3,1.0,1.0,0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,0.0,15.0,30.0,45.0,0.043333333333333335,0.05,0.13,2.15,87011.0,0.75,0.75,346.15383816568067,2.772588722239781,9.772588722239782,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.5850268733783838,0.0,0.00235434455047531,0.0034844500608455747,0.005746588798145736,0.17724586952493512
j_105527,88,0,87357,m_1303,77,1.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
j_1410110,3,0,87403,m_1242,3,1.0,1.0,0,3.0,3.0,3.0,1.0,1.0,2.0,0.6666666666666666,1.0,0.3333333333333333,100.0,100.0,300.0,0.3933333333333333,0.49,1.18,118.0,87403.0,0.75,0.16666666666666666,254.23728748922724,1.3862943611198906,5.772588722239782,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.34557061874361333,0.0,0.00235434455047531,0.0034844500608455747,0.3153941758982311,0.1518561311995168
j_2506138,3,0,87575,m_3213,3,1.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
