job_name,job_failure,complexity_score,cos_hour,cpu_mem_ratio,critical_path_proxy,cx_dag,cx_parallel,cx_pressure,cx_repetition,cx_resource,dag_complexity,dag_depth,dependency_density,fan_in_max,fan_in_mean,first_start_time,instance_count,local_arrival_density_200,machine_cpu_max,machine_cpu_mean,machine_disk_mean,machine_mem_max,machine_mem_mean,machine_net_in_mean,machine_net_out_mean,machine_pressure,max_instances_per_task,mean_instances_per_task,parallelism_proxy,plan_cpu_max,plan_cpu_mean,plan_cpu_sum,plan_mem_max,plan_mem_mean,plan_mem_sum,prev_arrival_gap_200,prev_failure_rate_200,resource_product_sum,root_task_ratio,seq_no_mean,sin_hour,submit_day,submit_hour,task_count,total_instances,total_seq_no_mean,unique_machines,unique_task_count
j_1886716,0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,86568,5,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,1.0,5,
j_474225,0,0.17718573080495453,1.0,399.99999200000013,2.772588722239781,0.5850268733783838,0.0034844500608455747,0.0,0.00235434455047531,0.005345663998275103,9.772588722239782,4.0,0.75,3.0,3.0,86816,2,,,,,,,,,,1.0,1.0,0.75,30.0,20.0,40.0,0.05,0.05,0.1,,,2.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,2,3.0
j_2091052,0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,86954,167,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,1.0,150,
j_82634,0,0.513369292806267,1.0,172.01834803204693,24.849066497880003,0.9999999999401359,0.06774070655923439,0.0,0.3547212456049467,0.9999999999973272,18.54987932996818,5.0,0.03225806451612903,4.0,1.0,87131,452,,,,,,,,,,143.0,15.066666666666666,14.580645161290322,50.0,50.0,1500.0,0.59,0.2906666666666667,8.72,,,436.0,0.3333333333333333,1.0,0.0,1.0,0.0,30.0,452.0,1.0,419,30.0
j_1498970,0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,87311,1,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,1.0,1,
j_1357251,0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,87322,1,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,1.0,1,
j_1587058,0,0.17724586952493512,1.0,346.15383816568067,2.772588722239781,0.5850268733783838,0.0034844500608455747,0.0,0.00235434455047531,0.005746588798145736,9.772588722239782,4.0,0.75,3.0,3.0,87344,3,,,,,,,,,,1.0,1.0,0.75,30.0,15.0,45.0,0.05,0.043333333333333335,0.13,,,2.15,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,3,3.0
j_105527,0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,87357,88,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,1.0,77,
j_1410110,0,0.1518561311995168,1.0,254.23728748922724,1.3862943611198906,0.34557061874361333,0.0034844500608455747,0.0,0.00235434455047531,0.3153941758982311,5.772588722239782,2.0,0.16666666666666666,1.0,0.6666666666666666,87403,3,,,,,,,,,,1.0,1.0,0.75,100.0,100.0,300.0,0.49,0.3933333333333333,1.18,,,118.0,0.3333333333333333,1.0,0.0,1.0,0.0,3.0,3.0,1.0,3,3.0
j_2506138,0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,87575,3,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,1.0,3,
j_2420514,0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,87598,1,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,1.0,1,
j_256626,0,0.17724586952493512,1.0,346.15383816568067,2.772588722239781,0.5850268733783838,0.0034844500608455747,0.0,0.00235434455047531,0.005746588798145736,9.772588722239782,4.0,0.75,3.0,3.0,87769,3,,,,,,,,,,1.0,1.0,0.75,30.0,15.0,45.0,0.05,0.043333333333333335,0.13,,,2.15,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,3,3.0
j_2335735,0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,88073,8,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,1.0,8,
j_186871,0,0.18140617806841788,1.0,,,0.0,0.0,0.7256247122736715,0.0,0.0,,,,,,88128,3,,51.0,27.2,2.4,92.0,86.8,37.662,28.625999999999998,0.38800000000000007,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,1.0,3,
j_231055,0,0.25763978486263933,1.0,121.35922300640964,9.996613530525611,0.6642411479511279,0.05652552320927265,0.0,0.057289050728232545,0.2753016959111678,11.095824562432226,3.0,0.09999999999999999,2.0,0.6,88133,73,,,,,,,,,,27.0,14.6,12.166666666666666,50.0,50.0,250.0,0.49,0.41200000000000003,2.06,,,103.0,0.6,1.0,0.0,1.0,0.0,5.0,73.0,1.0,70,5.0
j_538847,0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,88216,5,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,1.0,5,
j_1120527,0,0.12875152639428,1.0,249.99999875,1.3862943611198906,0.3722871782654145,0.003716746731568613,0.0,0.0031391260673004134,0.10691327996550205,6.218875824868201,2.0,0.15,1.0,0.75,88256,4,,,,,,,,,,1.0,1.0,0.8,50.0,50.0,200.0,0.2,0.2,0.8,,,40.0,0.25,1.0,0.0,1.0,0.0,4.0,4.0,1.0,4,4.0
