feature,importance
dag_complexity,2.4120191760824325
plan_cpu_sum,1.5506119894030557
seq_no_mean,1.2622454110705472
total_seq_no_mean,1.2508735801116755
unique_machines,1.1274096348626486
local_arrival_density_200,1.1248212261086652
critical_path_proxy,1.1165622252914513
sin_hour,1.0800835680266927
plan_cpu_mean,1.0218227811483624
prev_arrival_gap_200,0.8667975211347099
plan_cpu_max,0.5484641147966319
max_instances_per_task,0.44721084554289386
submit_hour,0.44222518668926736
cx_resource,0.4047534030438826
prev_failure_rate_200,0.3966912142339677
cos_hour,0.3888404487012116
machine_net_out_mean,0.3756975809759747
instance_count,0.3703557844385439
cx_dag,0.36454042051462787
dag_depth,0.35308206161900035
fan_in_max,0.35308206161900035
cpu_mem_ratio,0.34981202533820793
unique_task_count,0.30757007238456924
task_count,0.3075700723845691
submit_day,0.28427158021440885
machine_net_in_mean,0.2766947563568659
plan_mem_max,0.2726957948645018
cx_repetition,0.2663592005310849
machine_mem_max,0.24108839766696932
dependency_density,0.23363854162323935
machine_cpu_mean,0.22300767944470287
plan_mem_sum,0.19220795506632427
plan_mem_mean,0.15924896777753705
machine_disk_mean,0.15896852960898886
mean_instances_per_task,0.15297791949943554
machine_mem_mean,0.15114167939471165
total_instances,0.14880288021455154
machine_cpu_max,0.12277244125901894
root_task_ratio,0.1012599534813724
parallelism_proxy,0.09968660352091359
complexity_score,0.07284423131371409
first_start_time,0.061688923590319494
fan_in_mean,0.04698933928716066
cx_parallel,0.025207494563494637
machine_pressure,0.014292726795982896
resource_product_sum,0.00891443647267025
cx_pressure,0.007176808468252776
