model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_used,val_rows,test_rows,quantum_route_train_ratio,quantum_route_test_ratio,tau_threshold,uncertainty_threshold
LR,5000,grouped_temporal,0.6409250746963729,0.965,0.5777645004136409,0.07142857142857142,0.18181818181818182,0.10256410256410256,0.09833173955449227,0.014785100000153761,0.0021956000000500353,0.0021956000000500353,0.8377608236051108,0.07182592748831777,963,26,9,2,0.044571428571428574,0.5,0.002,0.011,1248,500,1000,,,,
RF,5000,grouped_temporal,0.2982621528268546,0.692,0.7543891901829213,0.02857142857142857,0.8181818181818182,0.05521472392638037,0.11424115209097703,0.3148077000005287,0.03954859999976179,0.03954859999976179,0.8793087599963232,0.28442807657314095,683,306,2,9,0.044571428571428574,0.5,0.002,0.011,1248,500,1000,,,,
HGB,5000,grouped_temporal,0.02596376516987925,0.72,0.7235959187425315,0.028070175438596492,0.7272727272727273,0.05405405405405406,0.10332678232125896,4.098074499999711,0.02144849999967846,0.02144849999967846,0.8038422649140546,0.2344380153790164,712,277,3,8,0.044571428571428574,0.5,0.002,0.011,1248,500,1000,,,,
MLP,5000,grouped_temporal,0.716631231983211,0.968,0.6242301682139902,0.1111111111111111,0.2727272727272727,0.15789473684210525,0.15988703729061982,0.16420130000005884,0.004394499999762047,0.004394499999762047,0.856788307748874,0.12383146838260105,965,24,8,3,0.044571428571428574,0.5,0.002,0.011,1248,500,1000,,,,
XGB,5000,grouped_temporal,0.5753012299537659,0.753,0.7402794374482948,0.031746031746031744,0.7272727272727273,0.060836501901140684,0.11544895898884011,0.474256499999683,0.0030915000006643822,0.0030915000006643822,0.870346539203971,0.28376783464561395,745,244,3,8,0.044571428571428574,0.5,0.002,0.011,1248,500,1000,,,,
LGBM,5000,grouped_temporal,0.10943167295351651,0.694,0.7554003125287251,0.02875399361022364,0.8181818181818182,0.05555555555555555,0.11489347660159595,1.432325600000695,0.0034135999994759914,0.0034135999994759914,0.8487912491956981,0.2597795330230586,685,304,2,9,0.044571428571428574,0.5,0.002,0.011,1248,500,1000,,,,
HQD-Net(tau=0.80),5000,grouped_temporal,0.3241425684356466,0.673,0.7447835278977848,0.02694610778443114,0.8181818181818182,0.05217391304347826,0.10826705553606135,2.2836528999996517,0.04942239999945741,0.04942239999945741,0.8809633238349113,0.26721257475922705,664,325,2,9,0.044571428571428574,0.5,0.002,0.011,1248,500,1000,0.3004807692307692,0.165,0.17654940226703525,0.0024604786137762224
LR,10000,grouped_temporal,0.5703751417447417,0.8261818181818181,0.598711694283231,0.08520179372197309,0.35185185185185186,0.1371841155234657,0.1040323046225182,0.015836300000955816,0.002211900000474998,0.0016086545457999985,0.7523481088961785,0.09426525690486633,1117,204,35,19,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
RF,10000,grouped_temporal,0.5621530284186681,0.9585454545454546,0.543268287212269,0.38461538461538464,0.09259259259259259,0.14925373134328357,0.173695176504854,0.31903930000044056,0.035052400000495254,0.02549265454581473,0.6666386295455182,0.13723220198789673,1313,8,49,5,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
HGB,10000,grouped_temporal,0.017900370983738405,0.9578181818181818,0.5340090279530099,0.3333333333333333,0.07407407407407407,0.12121212121212122,0.14204761705457533,2.6801367000007303,0.023503500000515487,0.017093454545829445,0.6340735133316511,0.12747378657820363,1313,8,50,4,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
MLP,10000,grouped_temporal,0.753973932548535,0.944,0.5179367482546892,0.10344827586206896,0.05555555555555555,0.07228915662650602,0.0484953913396217,0.1771631999999954,0.005614400000922615,0.004083200000670992,0.6027840861300362,0.05986220151457726,1295,26,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
XGB,10000,grouped_temporal,0.7123153913021086,0.9570909090909091,0.5247497686937506,0.2727272727272727,0.05555555555555555,0.09230769230769231,0.10793092549606359,0.38058079999973415,0.003474600000117789,0.002526981818267483,0.653811646620125,0.13842571637345608,1313,8,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
LGBM,10000,grouped_temporal,0.3632377166247209,0.9578181818181818,0.5428897860767656,0.35714285714285715,0.09259259259259259,0.14705882352941177,0.16597362675555047,1.365434400000595,0.004300900000089314,0.003127927272792228,0.6189685143129504,0.12636421827322428,1312,9,49,5,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
HQD-Net(tau=0.80),10000,grouped_temporal,0.5318277374882595,0.9556363636363636,0.5328735245464995,0.26666666666666666,0.07407407407407407,0.11594202898550725,0.12294460338812369,2.137146400000347,0.054238900000200374,0.039446472727418455,0.6722670816160596,0.13904693719254263,1310,11,50,4,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.3019578313253012,0.1149090909090909,0.16616219691004502,0.0026762420344718482
LR,20000,grouped_temporal,0.5703751417447417,0.8261818181818181,0.598711694283231,0.08520179372197309,0.35185185185185186,0.1371841155234657,0.1040323046225182,0.016449299999294453,0.0022659999995084945,0.0016479999996425415,0.7523481088961785,0.09426525690486633,1117,204,35,19,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
RF,20000,grouped_temporal,0.5621530284186681,0.9585454545454546,0.543268287212269,0.38461538461538464,0.09259259259259259,0.14925373134328357,0.173695176504854,0.31701670000074955,0.03527919999942242,0.02565759999957994,0.6666386295455182,0.13723220198789673,1313,8,49,5,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
HGB,20000,grouped_temporal,0.017900370983738405,0.9578181818181818,0.5340090279530099,0.3333333333333333,0.07407407407407407,0.12121212121212122,0.14204761705457533,2.750143699999171,0.022153800000523916,0.016111854545835573,0.6340735133316511,0.12747378657820363,1313,8,50,4,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
MLP,20000,grouped_temporal,0.753973932548535,0.944,0.5179367482546892,0.10344827586206896,0.05555555555555555,0.07228915662650602,0.0484953913396217,0.1512271999999939,0.004354299999249633,0.003166763635817915,0.6027840861300362,0.05986220151457726,1295,26,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
XGB,20000,grouped_temporal,0.7123153913021086,0.9570909090909091,0.5247497686937506,0.2727272727272727,0.05555555555555555,0.09230769230769231,0.10793092549606359,0.3779961000000185,0.003344400000059977,0.0024322909091345287,0.653811646620125,0.13842571637345608,1313,8,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
LGBM,20000,grouped_temporal,0.3632377166247209,0.9578181818181818,0.5428897860767656,0.35714285714285715,0.09259259259259259,0.14705882352941177,0.16597362675555047,1.2752380000001722,0.004014799998913077,0.0029198545446640555,0.6189685143129504,0.12636421827322428,1312,9,49,5,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
HQD-Net(tau=0.80),20000,grouped_temporal,0.5318277374882595,0.9556363636363636,0.5328735245464995,0.26666666666666666,0.07407407407407407,0.11594202898550725,0.12294460338812369,2.5700237000000925,0.2504081999995833,0.18211505454515148,0.6722670816160596,0.13904693719254263,1310,11,50,4,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.3019578313253012,0.1149090909090909,0.16616219691004502,0.0026762420344718482
LR,25000,grouped_temporal,0.5703751417447417,0.8261818181818181,0.598711694283231,0.08520179372197309,0.35185185185185186,0.1371841155234657,0.1040323046225182,0.018204699999841978,0.0023194999994302634,0.001686909090494737,0.7523481088961785,0.09426525690486633,1117,204,35,19,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
RF,25000,grouped_temporal,0.5621530284186681,0.9585454545454546,0.543268287212269,0.38461538461538464,0.09259259259259259,0.14925373134328357,0.173695176504854,0.5507709000012255,0.2149898999996367,0.1563562909088267,0.6666386295455182,0.13723220198789673,1313,8,49,5,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
HGB,25000,grouped_temporal,0.017900370983738405,0.9578181818181818,0.5340090279530099,0.3333333333333333,0.07407407407407407,0.12121212121212122,0.14204761705457533,3.2548657999996067,0.02372090000062599,0.0172515636368189,0.6340735133316511,0.12747378657820363,1313,8,50,4,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
MLP,25000,grouped_temporal,0.753973932548535,0.944,0.5179367482546892,0.10344827586206896,0.05555555555555555,0.07228915662650602,0.0484953913396217,0.18321319999995467,0.004769499999383697,0.0034687272722790526,0.6027840861300362,0.05986220151457726,1295,26,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
XGB,25000,grouped_temporal,0.7123153913021086,0.9570909090909091,0.5247497686937506,0.2727272727272727,0.05555555555555555,0.09230769230769231,0.10793092549606359,0.5689985999997589,0.0035772999999608146,0.0026016727272442286,0.653811646620125,0.13842571637345608,1313,8,51,3,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
LGBM,25000,grouped_temporal,0.3632377166247209,0.9578181818181818,0.5428897860767656,0.35714285714285715,0.09259259259259259,0.14705882352941177,0.16597362675555047,1.6092482000003656,0.0049206000003323425,0.0035786181820598854,0.6189685143129504,0.12636421827322428,1312,9,49,5,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,,,,
HQD-Net(tau=0.80),25000,grouped_temporal,0.5318277374882595,0.9556363636363636,0.5328735245464995,0.26666666666666666,0.07407407407407407,0.11594202898550725,0.12294460338812369,2.8724899999997433,0.0672166999993351,0.048884872726789166,0.6722670816160596,0.13904693719254263,1310,11,50,4,0.03450426106838495,0.5,0.01744186046511628,0.03927272727272727,1328,688,1375,0.3019578313253012,0.1149090909090909,0.16616219691004502,0.0026762420344718526
