feature,importance
complexity_score,875
first_start_time,828
prev_failure_rate_200,703
total_instances,677
local_arrival_density_200,590
cpu_mem_ratio,574
bottleneck_task_ratio,507
prev_arrival_gap_200,478
plan_mem_mean,458
cx_resource,402
cx_parallel,380
sin_hour,357
max_instances_per_task,330
cos_hour,323
plan_mem_sum,311
submit_hour,257
plan_mem_max,222
dependency_skew,218
cx_dag,214
fan_in_mean,200
dag_complexity,150
mean_instances_per_task,150
plan_cpu_max,143
cx_repetition,141
root_task_ratio,140
critical_path_proxy,138
plan_cpu_sum,109
dependency_density,105
dag_depth,94
resource_product_sum,79
fan_out_mean,72
task_count,70
fan_out_max,35
instance_count,34
submit_day,31
fan_in_max,31
deep_chain_ratio,25
parallelism_proxy,20
plan_cpu_mean,12
retry_task_ratio,8
cx_pressure,5
unique_machines,4
machine_mem_mean,0
machine_net_in_mean,0
machine_net_out_mean,0
machine_pressure,0
machine_cpu_max,0
machine_cpu_mean,0
machine_disk_mean,0
machine_mem_max,0
seq_no_mean,0
total_seq_no_mean,0
unique_task_count,0
