feature,importance
plan_mem_sum,0.23948456
fan_in_mean,0.07166339
complexity_score,0.067467935
critical_path_proxy,0.05640423
max_instances_per_task,0.05530819
total_instances,0.047661062
plan_cpu_sum,0.039207928
dependency_density,0.032657325
prev_failure_rate_200,0.029645713
cx_parallel,0.023652207
mean_instances_per_task,0.023500677
unique_task_count,0.021235164
cpu_mem_ratio,0.020400366
fan_in_max,0.019751199
plan_mem_mean,0.01968894
resource_product_sum,0.018907983
dag_depth,0.015854003
root_task_ratio,0.015749194
plan_cpu_max,0.015727472
local_arrival_density_200,0.014856218
cx_resource,0.0148090115
prev_arrival_gap_200,0.014478551
dag_complexity,0.014073412
cx_dag,0.013618696
parallelism_proxy,0.012829972
plan_mem_max,0.01245257
cos_hour,0.011728731
sin_hour,0.010396916
first_start_time,0.010236875
plan_cpu_mean,0.009909019
task_count,0.009875631
submit_hour,0.009847656
submit_day,0.006919301
cx_repetition,0.0
cx_pressure,0.0
machine_pressure,0.0
machine_mem_max,0.0
machine_mem_mean,0.0
machine_net_in_mean,0.0
instance_count,0.0
machine_net_out_mean,0.0
machine_cpu_max,0.0
machine_cpu_mean,0.0
machine_disk_mean,0.0
seq_no_mean,0.0
total_seq_no_mean,0.0
unique_machines,0.0
