model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,feature_noise_sigma
RF,6874,iid,0.44766296672112216,0.9650909090909091,0.7720744593843033,0.48148148148148145,0.5652173913043478,0.52,0.5037451619715869,0.422253599999749,0.03178779999961989,0.02311839999972356,0.8786927078221611,0.4297138719843237,1301,28,20,26,0.0
XGB,6874,iid,0.8614196978037871,0.9687272727272728,0.7109955180423332,0.5405405405405406,0.43478260869565216,0.4819277108433735,0.4689383093558275,0.39211859999977605,0.003509199999825796,0.002552145454418761,0.8796169071220598,0.5196307802921011,1312,17,26,20,0.0
RF,6874,iid,0.595935812088618,0.9687272727272728,0.532608695652174,1.0,0.06521739130434782,0.12244897959183673,0.2513432036247769,0.5134951000000001,0.03398349999952188,0.024715272726925003,0.8510158013544017,0.36638044958932425,1329,0,43,3,0.01
XGB,6874,iid,0.8613499836680256,0.9716363636363636,0.586580299015278,0.8888888888888888,0.17391304347826086,0.2909090909090909,0.38613918797073404,0.5058453999999983,0.0034771999999065883,0.0025288727272047918,0.8318447999476559,0.3273571698040762,1328,1,38,8,0.01
RF,6874,iid,0.5908735700075277,0.9665454545454546,0.5,0.0,0.0,0.0,0.0,0.6299913999991986,0.04021250000005239,0.029245454545492645,0.8500997808093697,0.3245976882244102,1329,0,46,0,0.03
XGB,6874,iid,0.8472903147226648,0.9687272727272728,0.5535953806392515,0.7142857142857143,0.10869565217391304,0.18867924528301888,0.27083618827452843,0.5682302000004711,0.004943400000229303,0.0035952000001667657,0.8226191644584029,0.3049613744415676,1327,2,41,5,0.03
RF,6874,iid,0.595772119157353,0.9665454545454546,0.5,0.0,0.0,0.0,0.0,0.5181518999997934,0.06821380000019417,0.049610036363777574,0.846787385088494,0.29457450559855336,1329,0,46,0,0.05
XGB,6874,iid,0.8625257351126852,0.968,0.5427258154218602,0.6666666666666666,0.08695652173913043,0.15384615384615385,0.23312261856589883,0.4909435999998095,0.0034583000006023212,0.002515127273165325,0.825399941112965,0.2601831877502062,1327,2,42,4,0.05
RF,6874,iid,0.5994914403275825,0.9665454545454546,0.5,0.0,0.0,0.0,0.0,0.7872592000003351,0.3659473000006983,0.26614349090959877,0.8420191710014067,0.20696399144913125,1329,0,46,0,0.1
XGB,6874,iid,0.8592252775385412,0.9665454545454546,0.5209866849870776,0.5,0.043478260869565216,0.08,0.14014142288690984,1.6781913999993776,0.019469500000013795,0.014159636363646397,0.8089279288121176,0.19626015841129485,1327,2,44,2,0.1
