feature,importance
local_arrival_density_200,1281
first_start_time,1112
prev_failure_rate_200,1085
prev_arrival_gap_200,1055
instance_count,862
unique_machines,694
sin_hour,348
cos_hour,322
complexity_score,220
submit_hour,213
machine_net_out_mean,151
total_seq_no_mean,134
cpu_mem_ratio,129
plan_cpu_sum,115
critical_path_proxy,92
cx_dag,88
machine_net_in_mean,86
dag_complexity,83
machine_mem_max,79
max_instances_per_task,66
machine_disk_mean,65
cx_pressure,62
machine_cpu_max,60
plan_mem_sum,59
machine_mem_mean,53
plan_mem_mean,51
root_task_ratio,49
machine_cpu_mean,48
cx_repetition,38
cx_resource,37
fan_in_mean,28
task_count,27
mean_instances_per_task,26
seq_no_mean,25
dependency_density,25
dag_depth,23
machine_pressure,23
cx_parallel,18
parallelism_proxy,17
plan_cpu_max,15
total_instances,12
resource_product_sum,11
plan_cpu_mean,6
plan_mem_max,4
submit_day,3
fan_in_max,0
unique_task_count,0
