feature,importance
dag_complexity,0.071103394
root_task_ratio,0.046333846
plan_cpu_mean,0.045542385
instance_count,0.04316399
sin_hour,0.04266094
critical_path_proxy,0.039760042
total_seq_no_mean,0.0384447
unique_machines,0.035918318
prev_failure_rate_200,0.033711992
plan_mem_sum,0.0331084
seq_no_mean,0.03303516
plan_cpu_sum,0.028720412
submit_hour,0.028414825
fan_in_mean,0.027444618
plan_mem_max,0.02684723
machine_mem_max,0.021401398
machine_net_in_mean,0.01994617
machine_net_out_mean,0.019798663
resource_product_sum,0.01905669
local_arrival_density_200,0.018280251
machine_pressure,0.017910609
first_start_time,0.01786594
cx_resource,0.017245345
plan_cpu_max,0.016909983
cos_hour,0.016886331
prev_arrival_gap_200,0.01489157
complexity_score,0.014633056
cx_dag,0.014310273
machine_mem_mean,0.013829156
task_count,0.0130983675
dependency_density,0.012829737
cx_parallel,0.012825696
machine_disk_mean,0.012108117
plan_mem_mean,0.012032906
machine_cpu_mean,0.011420946
cpu_mem_ratio,0.011392375
cx_repetition,0.011125624
unique_task_count,0.011097126
dag_depth,0.010241817
cx_pressure,0.010222985
submit_day,0.009923361
total_instances,0.009808829
max_instances_per_task,0.009491574
machine_cpu_max,0.009080619
mean_instances_per_task,0.008859602
parallelism_proxy,0.0072647035
fan_in_max,0.0
