model,sample_size,route,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time_sec,inference_time_sec,latency_ms_per_sample,roc_auc,pr_auc,tn,fp,fn,tp,quantum_route_train_ratio,tau_threshold
LR,5000,iid,0.746167909495233,0.916,0.6727560589453172,0.1794871794871795,0.4117647058823529,0.25,0.23349551527032814,0.06921580000016547,0.004403199999615026,0.004403199999615026,0.8488003897211058,0.16135333459962722,902,64,20,14,,
RF,5000,iid,0.44372663738018503,0.958,0.7654366094263793,0.41304347826086957,0.5588235294117647,0.475,0.4592675229547354,0.6804535000001124,0.0577196999993248,0.0577196999993248,0.8683321154548775,0.4722257712167717,939,27,15,19,,
HGB,5000,iid,0.5664707153711525,0.968,0.6003531847521617,0.5833333333333334,0.20588235294117646,0.30434782608695654,0.33405661927223784,5.705178199999864,0.039844300000368094,0.039844300000368094,0.8212915601023018,0.35016087869966134,961,5,27,7,,
MLP,5000,iid,0.1980615066519432,0.962,0.59724759469005,0.3888888888888889,0.20588235294117646,0.2692307692307692,0.2651214640229642,0.5230149999997593,0.00508940000054281,0.00508940000054281,0.7921994884910486,0.1890484801907696,955,11,27,7,,
XGB,5000,iid,0.7795334997810893,0.967,0.770094994519547,0.5135135135135135,0.5588235294117647,0.5352112676056338,0.5186334784336559,0.8240120000000388,0.005577300000368268,0.005577300000368268,0.8500030446961393,0.5213574502691332,948,18,15,19,,
LGBM,5000,iid,0.9454620699018449,0.971,0.5877176957739617,0.8571428571428571,0.17647058823529413,0.2926829268292683,0.38134810090147525,2.6162844000000405,0.004755500000101165,0.004755500000101165,0.8336225794665693,0.382086590454116,965,1,28,6,,
HQD-Net(tau=0.80),5000,iid,0.7795334997810893,0.966,0.727012544148094,0.5,0.47058823529411764,0.48484848484848486,0.4675146295784327,1.0202518000005512,0.01192059999993944,0.01192059999993944,0.8496985750822068,0.46536103934547923,950,16,18,16,0.20025,0.16466996458949557
LR,10000,iid,0.7989191180131178,0.936,0.6730788104818922,0.23076923076923078,0.391304347826087,0.2903225806451613,0.26909028233109983,0.09703539999918576,0.0036823000000367756,0.0026780363636631096,0.8127555860895737,0.20726504367702853,1269,60,28,18,,
RF,10000,iid,0.48694815059781843,0.9672727272727273,0.7312297575817057,0.5116279069767442,0.4782608695652174,0.4943820224719101,0.4777809015937304,0.7097262000006594,0.06721550000020216,0.04888400000014702,0.8635129387901986,0.4058728054757833,1308,21,24,22,,
HGB,10000,iid,0.51473448231697,0.9738181818181818,0.6506690221480682,0.7777777777777778,0.30434782608695654,0.4375,0.4767263917257947,4.388638899999933,0.03910249999989901,0.028438181818108373,0.8758301436189355,0.4868299315038264,1325,4,32,14,,
MLP,10000,iid,0.009928161956737317,0.11636363636363636,0.511409363038571,0.034262948207171316,0.9347826086956522,0.06610299769408147,0.014538523921161872,0.49723700000049575,0.008643600000141305,0.006286254545557313,0.4473451761703798,0.04466713916720243,117,1212,3,43,,
